abacus 算盘 
outfit 旅行装备 
outlaw 无法无天的 
outlet 出口 
outline 轮廓;草稿 
outlook 展望 
output 出产 
outrage 使愤慨 
outrageous 愤怒的 
outside 外部 
outskirt 郊外 
outstanding 显目的 
outward 外部的 
oval 椭圆形 
ovary 子房 
oven 窑 
over 在之上 
overcoat 大衣 
overcome 克服 
overflow 溢出 
overhang 悬垂 
overhead 高架的 
overhear 无意中听到 
overland 经陆路的 
overlook 俯视 
overnight 通宵 
overpower 打败 
overseas 海外的 
oversleep 睡过头 
overtake 追上 
overthrow 打翻 
overturn 推翻 
overwhelm 压倒 
overwhelming 压倒性的 
overwork 工作过度 
owe 借债 
owing 基於 
owl 猫头鹰 
own 拥有 
owner 物主 
ownership 所有权 
ox 牛 
oxygen 氧气 
oyster 牡蛎;蚵 
pace 步伐 
pacific 和平的 
pack 包 
package 包装 
packet 小包 
pad 衬垫 
paddle 桨 
page 页 
pageant 盛会 
pail 桶 
pain 痛 
painful 痛的 
painfully 痛苦地 
paint 颜料 
painter 画家 
painting 油画 
pair 一对 
pajamas 睡衣 
pal 夥伴 
palace 宫殿 
pale 苍白 
palm 手掌 
palm 棕闾 
pamphlet 小册子 
pan 平锅 
pancake 薄烤饼 
pane 窗玻璃 
panel 铁板 
panic 惊慌 
pansy 叁色紫罗兰 
pant 喘气 
panther 美洲豹 
pants 裤 
papa 爸爸 
paper 纸 
par 同位 
parachute 降落伞 
parade □行 
paradise 乐园 
paragraph 段落 
parallel 平行的 
paralyze 使麻痹 
paramount 至高的 
paraphrase 解释 
parasite 寄生物 
parasol 阳伞 
parcel 包裹 
parch 烘乾 
parchment 羊皮纸 
pardon 原谅 
pare 剥掉 
parent 父母亲 
parenthesis 括号 
parish 教区 
park 公园 
parliament 国会 
parliamentary 国会的 
parrot 鹦鹉 
parsley 香菜 
parson 牧师 
part 部分 
partake 分享 
partial 部分的 
partially 部分地 
participate 参加 
participation 参与 
participle 分词 
particular 单独的 
particularly 单独地 
parting 分离 
partisan 伙伴 
partition 瓜分 
partly 部分地 
partner 合夥人 
partridge 鹧鸪 
party 集会;政党 
party 舞会 
pass 通过 
passage 通道 
passenger 乘客 
passion 热情 
passionate 热情的 
passionately 热情地 
passive 消极的 
passport 护照 
past 过去的 
paste 糊;膏 
pastime 消遣 
pastor 牧师;牧人 
pastoral 牧人的 
patron 支持者 
patronage 支持 
patter 急促声 
pattern 图案;模形 
pause 停顿 
pave 铺设 
pavement 路面 
paw 爪子 
pay 付款 
payment 付款 
pea 豆子 
peace 和平 
peaceable 和平的 
peaceful 安宁的 
peach 桃子 
peacock 孔雀 
peak 山峰 
peal 响声 
peanut 花生 
pear 梨子 
pearl 珍珠 
peasant 农夫 
pebble 鹅卵石 
peculiar 奇特的 
peculiarity 怪僻 
peculiarly 奇特地 
peddler 小贩 
pedestal 台座 
pedestrian 行人 
peel 果皮 
peep 偷看 
peer 同辈 
peer 细看 
peg 木钉;衣夹 
pelt 毛皮 
pen 笔 
pen 栏圈 
penalty 惩罚 
pencil 铅笔 
pending 未决定的 
pendulum 钟摆 
penetrate 穿透 
peninsula 半岛 
penny 一分钱 
pension 养老金 
pensive 哀思的 
people 人民;民众 
pepper 胡椒 
perceive 感觉 
percent 百分之□ 
percentage 百分比 
perceptible 明显的 
perception 知觉 
perch 栖息 
perchance 或许 
perfect 完美的 
perfection 完美 
perfectly 完美地 
perform 表演;执行 
performance 演出;成绩 
perfume 香水 
perhaps 可能 
peril 危险 
perilous 危险的 
period 时期;句号 
periodical 期刊 
perish 毁灭 
permanent 永久的 
permanently 永久地 
permission 许可 
permit 允许 
perpendicular 垂直的 
perpetual 永久的 
perplex 迷惑 
perplexity 困惑 
persecute 迫害 
persecution 迫害 
perseverance 毅力 
persevere 坚持 
persimmon 柿子 
persist 坚持 
persistent 固执的 
person 人 
personage 名人;容貌 
personal 私人的 
personality 个性 
personally 亲自地 
personnel 人事部门 
perspective 透视 
persuade 劝说 
persuasion 劝说 
pertain 属於 
pervade 遍布 
pessimism 悲观 
pest 毒物 
pestilence 传染病 
pet 宠物 
petal 花瓣 
petition 请□书 
petroleum 石油 
petticoat 衬裙 
petty 细小的 
pew 座位 
phantom 幻影 
phase 时期 
pheasant 雉鸡 
phenomenon 现象 
philosopher 哲学家 
philosophic 哲学上的 
philosophy 哲学 
phone 电话 
phonograph 电唱机 
phosphoric 含□的 
photo 照片 
photograph 照片 
phrase 片语 
physical 物理的 
physically 物理地 
physician 医生 
physics 物理学 
pianist 钢琴家 
piano 钢琴 
piazza 走廊 
pick 挑选 
pickle □黄瓜 
picnic 野餐 
picture 图画 
picturesque 如画的 
pie 馅饼 
piece 一片;一块 
pier 码头 
pierce 穿洞 
piety 孝顺 
pig 猪 
pigeon 鸽子 
pike 长枪;税关 
pile 一堆 
pilgrim 朝圣者 
pilgrimage 朝圣者 
pill 药丸 
pillar 柱子 
pillow 枕头 
pilot 驾驶员 
pin 别针 
pinch 捏 
pine 松树 
pineapple 凤梨 
pingpong 乒乓球 
pinion 鸟羽 
pink 粉红色 
pint 品脱 
pioneer 开拓者 
pious 虔诚的 
pipe 管 
piper 吹笛者 
pirate 海盗 
pistil 雌蕊 
pistol 手枪 
piston 活塞 
pit 凹洞 
pitch 投 
pitcher 投手 
pitiful 可怜的 
pitiless 无情的 
pity 怜悯 
placard 标语牌 
place 场所,地方 
placid 平静的 
plague 疫病 
plaid 格子花呢 
plain 普通的 
plan 计画 
plane 水平面 
planet 行星 
plank 板 
plant 植物 
plantation 农园 
planter 种植的人 
plaster 石膏 
plastic 塑胶 
plate 金属板 
plateau 高原 
platform □ 
platinum 白金,铂 
platter 大盘子 
play □戏 
player 竞赛者 
playful 爱□玩的 
playground 运动场 
playmate □伴 
plaything 玩具 
plea 请□ 
plead 辩护 
pleasant 愉快的 
pleasantly 愉快地 
please 使高兴 
pleased 高兴的 
pleasing 愉快的 
pleasure 欢乐 
pledge 誓约 
plentiful 许多的 
plenty 很多 
plot 策略 
plow 犁 
pluck 摘 
plug 栓 
plum 李子 
plumage 羽毛 
plume 羽毛 
plunder 掠夺 
plunge 跳进 
plural 复数 
plus 加 
ply 屡加 
pneumonia 肺炎 
pocket 口袋 
poem 诗 
poet 诗人 
poetic 诗意 
poetry 诗 
point 点 
pointed 尖 
poison 毒 
poisonous 有毒 
poke 拨开 
pole 棒;竿 
police 警察 
policeman 警察 
policy 政策 
polish 磨光 
polite 有礼貌的 
politely 殷勤地 
politeness 有礼貌 
political 政治的 
politician 政治家 
politics 政治学 
poll 民意测验 
pollen 花粉 
pond 池塘 
ponder 沉思 
ponderous 笨重的 
pony 小马 
pool 池 
poor 贫穷;差劲 
pop 爆声 
pope 教皇 
poplar 白杨 
poppy 罂粟 
populace 民众 
popular 受欢迎的 
popularity 流行 
population 人口 
populous 人口稠密的 
porcelain 瓷器 
porch 阳台 
porcupine 豪猪 
pore 毛 
pork 猪肉 
port 港口 
portable 手提的 
portal 正门 
porter 杂工 
portion 一部分 
portrait 半身像 
pose 姿势 
position 位置 
positive 确定的 
positively 确定地 
possess 拥有 
possession 所有权 
possessive 所有的 
possibility 可能性 
possible 可能的 
possibly 可能地 
post 公告;邮件 
postage 邮费 
postal 邮政的 
postcard 明信片 
poster 海报 
posterity 後代 
postman 邮差 
postoffice 邮局 
postpone 延期 
postscript 附笔 
posture 姿势 
pot 壶;罐 
potato 马铃薯 
potent 强有力的 
potential 可能性 
potter □陶工人 
pottery 陶器 
pouch 小袋 
poultry 家禽 
pound 磅;敲击 
pour 倾倒 
poverty 贫困 
powder 细粉 
power 力量;权力 
powerful 强有力的 
powerless 无力的 
practicable 可行的 
practical 实际的 
practicality 实际性 
practically 实际地 
practice 练习 
prairie 大草原 
praise □美 
pray 祈祷 
prayer 祷告 
preach 传教 
preacher 传道者 
precarious 危险的 
precaution 预防 
precede 提前 
precedent 先例 
preceding 先前的 
precept 箴言 
precinct 区域 
precious 贵重的 
precipice 悬崖 
precipitate 沈淀;促使 
precise 精确的 
precisely 精确地 
precision 精确 
predecessor 前任;前辈 
predicate 述语 
predict 预言 
prediction 预言 
preface 序;绪言 
prefecture 地方官职位 
prefer 比较喜欢 
preference 偏爱;优惠 
prefix 字首 
prejudice 偏见 
preliminary 初步的 
premier 总理;首相 
premise 前提 
premium 奖金 
preparation 预备 
preparatory 预备的 
prepare □备 
preposition 介系词 
prerogative 特权 
prescribe 规定 
prescription 药方;规定 
presence 出席 
present 呈送;现在 
presentation 礼物;演出 
presently 不久地 
preservation 保护 
preserve 保护 
preside 主持 
presidency 总统任期 
president 总统;校长 
presidential 总统的 
press 压;新闻界 
pressure 压力 
prestige 威望 
presumably 假定地 
presume 假定 
pretend 假装 
pretense 虚伪 
pretty 漂亮 
prevail 流行;战胜 
prevailing 流行的 
prevalent 流行的 
prevent 阻止 
prevention 防止 
previous 先前的 
previously 先前地 
prey 猎物 
price 价钱 
priceless 无价的 
pride 自尊 
priest 牧师 
primarily 主要地 
primary 初级的 
prime 主要的 
primitive 基本的 
primrose 樱花草 
prince 太子 
princely 王家的 
princess 公主 
principal 主要的 
principle 原则 
print 印刷 
printer 印刷者 
prior 预先的 
prism 叁□镜 
prison 监狱 
prisoner 犯人 
privacy 隐私 
private 私人的 
privately 私人地 
privilege 特权 
privileged 特权 
prize 奖品 
probability 可能性 
probable 可能;大概 
probably 大概地
probe 探头	
problem 问题
procedure 程序 
proceed 进行 
proceeding 行动 
process 过程 
procession 行列 
proclaim 声明 
proclamation 宣言 
procure 促成 
prodigal 浪费 
prodigious 大量的 
produce 生产 
producer □作者 
product 产品 
production 生产 
productive 生产的 
profane 世俗的 
profess 声明 
profession 职业 
professional 专业的 
professor 教授 
proffer 提供 
proficient 专家 
proficient 精通的 
profile 外貌 
profit 利益 
profitable 有利可图的 
profiteer 获暴利者 
profound 深奥的 
profoundly 深奥地 
program 节目 
programme 节目 
progress 进步 
progressive 进步的 
prohibit 禁止 
prohibition 禁止 
project 方案 
projection 投射 
prologue 序幕 
prolong 延长 
promenade □行 
prominent 着名的 
promise 约定 
promising 有希望的 
promote 升迁 
promotion 升迁 
prompt 立刻的 
promptly 立刻地 
prone 倾向於 
pronoun 代名词 
pronounce 发音;声明 
pronounced 明言的 
pronunciation 发音 
proof 证据 
propaganda 宣传 
propagate 广传 
propeller 螺旋桨 
proper 适当的 
properly 适当地 
property 财产 
prophecy 预言 
prophesy 预言 
prophet 预言家 
prophetic 预言的 
proportion 比率 
proposal 提案;求婚 
propose 提议 
proposition 主张 
proprietor 所有者 
prose 散文 
prosecute 起诉 
prospect 远景 
prospective 有希望的 
prosper 繁荣 
prosperity 繁荣 
prosperous 繁荣的 
protect 保护 
protection 保护 
protective 保护的 
protector 保护者 
protein 蛋白质 
protest 抗议 
protestant 新教 
protoplasm 原形质 
proud 骄傲 
proudly □耀地 
prove 证明 
proverb 谚语 
provide 供给 
provided 倘若 
province 省 
provincial 省的 
provision 供应 
provocation 触怒 
provoke 使愤怒 
prudence 谨慎 
prudent 谨慎的 
prune 修剪 
pry 刺探 
psalm 诗篇 
psychology 心理学 
public 公用的 
publication 出版 
publicity 公开 
publicly 公然地 
publish 发表 
publisher 出版者 
pudding 布丁 
puff 一吹 
pull 拉 
pulp 果肉 
pulse 脉搏 
pump 唧筒 
pumpkin 南瓜 
punch 打孔器 
punctual 守时 
punctuation 标点 
punish 处罚 
punishment 处罚 
pup 小狗 
pupil 学生 
puppet 木偶 
puppy 小狗 
purchase 购买 
purchaser 购买者 
pure 纯的 
purely 纯粹地 
purge 肃清 
purify 净化 
purity 清洁 
purple 紫色的 
purpose 目的 
purse 钱袋 
pursue 追求 
pursuit 从事 
push 推 
pussy 猫 
put 放置 
puzzle 难题 
pyramid 金字塔 
quack 嘎嘎 
quail 鹌鹑 
quaint 离奇有趣的 
qualification 资格 
qualify 给与资格 
quality 品质 
quantity 份量 
quarrel 吵架 
quarrelsome 喜欢吵架的 
quarry 凿石场 
quarter 四分之一 
quartz 石英 
queen 女王;王后 
queer 古怪的 
quench 解渴 
query 疑问 
quest 探索 
question 问题 
quick 快 
quicken 加快 
quickly 很快地 
quicksilver 水银 
quiet 寂静的 
quietly 安静地 
quill 羽茎 
quilt 棉被 
quit 放弃 
quite 相当 
quiver 颤抖 
quotation 引用句 
quote 引证 
rabbit 兔子 
race 竞赛 
racial 种族的 
rack 网架 
racket 球拍 
radar 雷达 
radiance 光辉 
radiant 辐射的 
radiate 辐射 
radiator 暖气机 
radical 根本的 
radio 收音机 
radium 镭 
radius 半径 
raft 筏 
rag 破布 
rage 愤怒 
ragged 破烂的 
raid 袭击 
rail 栏杆 
railing 扶手 
railroad 铁路 
railway 轨道 
rain 雨 
rainbow 虹 
raindrop 雨滴 
rainfall 雨量 
rainy 下雨的 
raise 升起 
rally 示威运动 
ram 公羊 
ramble 漫步 
ranch 大农场 
random 任意 
range □围 
rank 评价分类 
ransom 赎金 
rap 敲击 
rapid 迅速的 
rapidity 迅速 
rapidly 迅速地 
rapt 狂喜的 
rapture 全神灌注 
rare 稀少的 
rarely 稀少地 
rascal 小淘气 
rash 疹子 
rat 老鼠 
rate 比率;等级 
rather 宁□ 
ratify 批准 
ratio 比率 
rational 合理的 
rattle 发嘎嘎声 
ravage 破坏 
rave 怒吼 
raven 乌鸦;掠夺 
ravine 峡谷 
raw 生的 
ray 光线 
razor 剃刀 
reach 达到 
react 反应 
reaction 反应 
reactionary 反动分子 
read 阅读 
reader 读者 
readily 容易地 
readiness 方便 
ready □备好的 
real 真实的 
reality 现实 
realization 体认 
realize 体认 
really 真正地 
realm 王国 
reap 收割 
reaper 收割者 
reappear 再出现 
rear 後面;养育 
reason 理由 
reasonable 合理的 
reasonably 合理地 
reasoning 推理 
reassure 再保证 
rebel 反抗者 
rebellion 造反 
rebellious 反叛的 
rebuff 回绝 
rebuild 重建 
rebuke 指责 
recall 召回;记起 
recede 降低 
receipt 收据 
receive 收到 
receiver 接受者 
recent 最近的 
recently 最近地 
receptacle 容器;花托 
reception 招待 
recess 休惜 
reciever 接收器 
recipe 食谱 
reciprocal 互惠 
recite 背诵 
reckless 不顾一切 
reckon 计算 
reclaim 改造 
recline 横卧 
recognition 认出 
recognize 认出 
recoil 後退 
recollect 回忆 
recollection 回忆 
recommend 推荐 
recompense 酬谢 
reconcile 调停 
reconstruct 重建 
reconstruction 重建 
record 记录;唱片 
recount 详述 
recovery 重获;□元 
recreation 娱乐中心 
recruit 招募 
rectangle 长方形 
rector 牧师 
recur 重现 
red 红色 
redbreast 知更鸟 
redden 变红 
reddish 带红色的 
redeem 赎回 
reduction 减少 
reed 芦苇 
reef 暗礁 
reel □轴 
refer 指示 
reference 参考书 
refine 提炼 
refined 精□的 
refinement 精美 
reflect 反射 
reflection 反射 
reform 改革 
reformer 改革者 
refrain 禁止 
refresh 恢□ 
refreshment 身心爽快 
refrigerator 冰箱 
refuge 避难所 
refugee 难民 
refusal 拒绝 
refuse 拒绝 
regain 恢□;重回 
regal 帝王的 
regard 认为 
regardful 小心的 
regarding 关於 
regardless 不顾 
regent 摄政 
regime 政权 
regiment 一团;一群 
region 地区 
register □册 
registration □册 
regret 後悔 
regular 通常的 
regularity 规则 
regularly 正常地 
regulate 校正 
regulation 规则 
rein □绳 
reindeer 驯鹿 
reinforce 增援 
reiterate 反□ 
reject 拒绝 
rejoice 使□高兴 
rejoicing 高兴 
relate 有关连 
relation 关□ 
relationship 关□ 
relative 亲戚;相关 
relatively 相对地 
relax 放□ 
release 释放 
relent 同情 
reliable 可靠 
relic 遗迹 
relief 解脱 
relieve 解除 
religion 宗教 
religious 宗教的 
relinquish 放弃 
relish 美味 
reluctance 勉强 
reluctant 勉强的 
reluctantly 勉强地 
rely 信任 
remain 保持;留下 
remainder 馀数 
remark 注意;评□ 
remarkable 不平常的 
remarkably 不平常的 
remedy 治疗;补救 
remember 记得 
remembrance 纪念 
remind 提醒 
remit 汇寄;赦免 
remnant 遗物 
remodel 改装 
remorse 悔恨 
remote 遥远的 
removal 撤除 
remove 移动 
removed 远离的 
renaissance □兴 
rend 分裂 
render 呈送;造成 
renew 更新;续订 
renounce 放弃;否认 
renown 名望 
rent 租金;出租 
repair 修理 
reparation 补偿 
repast 餐饮 
repeal 撤销 
repeat 重复 
repeated 重复的 
repeatedly 重复地 
repel 驱除;拒绝 
repent 後悔 
repentance 悔恨 
repetition 重复 
replace 更换 
replenish 补充 
reply 答覆 
report 报告 
reporter □访记者 
represent 表示 
representation 代表 
reproach 叱责 
reproduce 复□ 
reproduction 复□ 
reproof 非难 
reprove 责备 
reptile 爬□动物 
republic 共和国 
republican 共和政体 
repulse 逐退 
reputation 声价 
repute 名气 
request 请求 
require 需要 
requirement 必要条件 
requisite 必要的 
rescue 救 
research 研究 
resemblance 类似点 
resemble 类似 
resent 愤慨 
resentment 愤慨 
reservation 预约;保留 
reserve 预约 
reservoir 贮水处 
reside 住 
residence 住宅 
resident 居住的 
resign 辞职 
resignation 辞职 
resist 抵抗 
resistance 抵抗 
resolute 坚定的 
resolutely 坚决地 
resolution 决心 
resolve 下决心 
resolved 决议的 
resort 娱乐场 
resource 资源 
respect 尊敬 
respectable 可尊敬的 
respectful 表示敬意 
respectfully 尊敬地 
respecting 关於 
respective 个别的 
respectively 个别地 
respond 回答 
response 反应 
responsibility 责任 
responsible 应负责任的 
rest 休息 
restaurant 餐馆 
restless 不安的 
restoration 修□ 
restore 恢□原状 
restrain 抑制 
restraint 抑制 
restrict 限於 
restriction 限制 
result 结果 
resume 重新开始 
resurrection □活 
retail 零售 
retain 保持 
retard 减低速度 
retire 退休 
retirement 退休 
retort 反驳 
retreat 撤退 
return 归还 
reveal 显示 
revelation 揭发 
revenge 报仇 
revenue 岁入,收益 
revere 尊敬 
reverence 尊敬 
reverend 应尊敬的 
reverse 相反 
revert 恢□ 
review 评论 
revise 修订 
revision 校订 
revival □□ 
revive □□ 
revolt 暴动 
revolution 革命 
revolutionary 革命的 
revolve □转 
revolver 左轮手枪 
reward 报酬 
rhetoric 修辞 
rheumatism 风湿 
rhyme 押韵 
rhythm 旋律 
rib 肋骨 
ribbon 缎带 
rice 米,饭 
rich 富有的 
rid 使免除 
riddle 谜 
ride 骑;乘 
rider 骑士 
ridge 背 
ridicule 愚弄 
ridiculous 荒谬的 
rifle 来福枪 
rig 索具装置 
right 正确的 
righteous 正义的 
righteousness 正义 
rightful 正直的 
righthand 右手的 
rigid 固定的 
rim 边 
ring 戒子 
rinse 洗涤 
riot 暴动 
rip 扯裂 
ripe 成熟 
ripen 成熟 
ripple 涟漪 
rise 起床;□起 
rising 攀□的 
risk 冒险 
rival 对敌者 
rivalry 竞争 
river 河 
rivet 使固定 
road 道路 
roadside 路边 
roadway 道路 
roam 徘徊 
roar 咆哮 
roast 烘烤 
rob 抢劫 
robber 强盗 
robbery 掠夺 
robe 外袍 
robin 知更鸟 
rock 岩石 
rocket 火箭 
rocky 岩石的 
rod 棒;鱼竿 
role 角色 
roll 滚动 
rollcall 点名 
roller 滚筒 
romance 恋爱 
roof 屋顶 
room 房间 
rooster 雄鸡 
root 根 
rope 绳索 
rose 蔷薇 
rosebud 蔷薇花蕾 
rosy 透红的 
rot 腐坏 
rotate □转 
rotation □转 
rotten 腐败的 
rouge 胭脂 
rough 粗的 
round 圆的 
rouse 唤醒 
route 路线 
routine 日常工作 
rove 转来转去 
rover 流浪者 
row 一排 
royal 国王的 
royalty 王权 
rub 揉 
rubber 橡胶 
rubbish 废物 
ruby 红宝石 
rude 无礼的 
rudely 无礼地 
rug 毯子 
rugged 崎岖的 
ruin 毁灭 
rule 规则 
ruler 统治者 
ruling 裁定 
rum 甜酒 
rumble 噪音 
rumor 谣言 
run 跑 
runaway 逃亡者 
runner 跑步者 
running 跑的 
rural 乡下的 
rush 速行 
rust 铁秀 
rustic 乡村的 
rusty 腐蚀的 
ruthless 无情的 
sable 黑貂 
sack 大袋子 
sacred 神圣的 
sacrifice 牺牲 
sad 悲哀 
saddle 鞍 
sadly 悲痛地 
sadness 悲哀 
safe 安全 
safeguard 保护 
safely 安全地 
safety 安全 
sag □弛 
sage 贤能的 
sail 帆船 
sailor 水手 
saint 圣人 
sake 缘故 
salad 沙拉 
salary 薪水 
sale 销售 
salesman 售货员 
salmon □鱼 
salon 沙龙 
salt 盐 
salute 敬礼 
salvation 救世 
same 相同的 
sample 样品 
sanction 核准 
sand 沙 
sandal 凉鞋 
sandstone 沙岩 
sandwich 叁明治 
sandy 沙的 
sane 头脑清楚的 
sanitary 卫生的 
sanitation 卫生设备 
sardine 沙丁鱼 
sash 饰带 
satellite 卫星 
satin 缎布 
satire 讽刺 
satisfactory 满意的 
satisfy 满意 
Saturday 星期六 
satyr 色狼 
sauce 调味汁 
saucepan 平底锅 
saucer 小碟子 
saucy 俏皮的 
sausage 香肠 
savage 天然的 
save 拯救 
saving 节省 
savior 拯救的 
savor 风味 
saw 锯开 
say 说 
saying 名言 
scald 烫伤 
scale 磅秤 
scalp 头皮 
scamper 疾走 
scan 细看 
scandal □事 
scant 缺乏的 
scanty 缺乏的 
scar 疤痕 
scarce 缺乏的 
scarcely 几乎没有 
scarcity 缺乏 
scare 害怕 
scarecrow 稻草人 
scarf 围巾 
scarlet 深红色 
scatter 散步 
scene 实况 
scenery 景色 
scenic 景色 
scent 气味 
scepter 权杖 
schedule 时间表 
scheme 计□ 
scholar 学者 
scholarship 奖学金 
school 学校 
schoolboy 学童 
schoolgirl 女学生 
schoolhouse 校舍 
schoolmaster 校长 
schoolroom 教室 
schooner 大篷车 
science 科学 
scientific 科学的 
scientist 科学家 
scissors 剪刀 
scoff 嘲笑 
scold 责骂 
scoop 杓子 
scope 眼界 
scorch 烧焦 
score 得分 
scorn 轻视 
scornful 轻视的 
scoundrel 无籁 
scour 擦洗 
scourge 灾害 
scout 童子军 
scowl 皱眉头 
scramble 搅乱 
scrap 零头;剪报 
scrapbook 剪贴簿 
scrape 刮掉 
scratch 抓伤 
screech 尖叫 
screen 布幕;银幕 
screw 螺丝钉 
script 手稿 
scripture 经典 
scroll 卷轴 
scrub 擦洗 
scrub 灌木丛 
scruple 顾忌 
sculptor □刻家 
sculpture □刻品 
scurry 疾走 
scuttle 煤箱 
scythe 大镰刀 
sea 海洋 
seacoast 海岸 
seal 印章;记号 
seal 海豹 
seam 接缝 
seaman 水手 
seaport 港口 
search 搜查 
searchlight 探照灯 
seashore 海岸 
seasick 晕船的 
seaside 海边 
season 季节 
seat 座位 
seaweed 海澡 
seclude 隔离 
second 第二;赞成 
secondary 次要的 
secondhand 二手货 
secrecy 秘密 
secret 秘密的 
secretary 秘书 
sect 宗派 
section 部分 
secular 世俗的 
secure 保护 
security 安全 
see 看见 
seed 种子 
seedling 秧苗 
seeing 由於 
seek 寻求 
seem 似乎 
seeming 似乎的 
seesaw 跷跷板 
seethe 起泡沫 
segment 部分 
seize 捕捉 
seldom 很少 
select 挑选 
selection 选择 
self 自己 
selfish 自私的 
selfishness 自私 
selfsame 同样的 
sell 出售 
seller 卖主 
semblance 相似 
semicolon 分号 
senate 参议院 
senator 参议员 
send 送;派 
senior 年长的 
sensation 感情 
sensational 惊人的 
sense 感官 
senseless 无知觉的 
sensibility 感性 
sensible 明显的 
sensitive 敏感的 
sentence 判决;句子 
sentiment 情绪 
sentimental 情绪化的 
sentinel 哨兵 
separate 分开 
separation 分离 
September 九月 
sepulcher 坟墓 
sequence 顺序 
serenade 小夜曲 
serene 安详的 
serge 毛哔叽 
sergeant 军士;警官 
series 系列 
serious 严重的 
sermon 讲道 
serpent 蛇 
servant □人 
serve 侍候 
service 服务 
session 会期 
set 安置 
settle 安顿 
settled 固定的 
settlement 和解 
settlement 殖民地 
settler 定居者 
seven 七 
seventeen 十七 
seventeenth 第十七的 
seventh 第七 的 
seventieth 第七十的 
seventy 七十 
sever 切断 
several 几个 
severe 严厉的 
severity 严厉 
sew 缝纫 
sewer 下水道 
sex 性别 
shabby 破旧的 
shade 阴凉处 
shadow 阴影 
shadowy 有阴影的 
shady 阴凉的 
shaft 箭□;矛柄 
shaggy 毛茸茸的 
shake 摇动 
shale 页岩 
shall 将 
shallow 浅的 
shalt 将 
shame 羞耻 
shameful 不体面的 
shape 型状 
shapeless 没有形状的 
share 份儿 
shark 鲨鱼 
sharp 锐利的 
sharpen 削 
sharply 锐利地 
shatter 打碎 
shave 刮 
shawl 围巾 
she 她 
sheaf 束 
shear 剪断 
sheath 鞘 
shed 散出 
sheep 羊 
sheer 全然的 
sheet 床单;一张 
shelf 搁板 
shell 壳 
shellfish 贝 
shelter 隐藏处 
shepherd 牧羊者 
sheriff 郡治安官 
shield 盾 
shift 替换 
shilling 先令 
shimmer 淡光 
shin 外小腿 
shine 发亮 
shingle 木瓦 
shiny 发亮的 
ship 船 
shipment 装船 
shipping 装货 
shipwreck 遇难船 
shirt 衬衣 
shiver 发抖 
shock 震动 
shoe 鞋 
shoemaker 皮鞋匠 
shoot 射击 
shop 店 
shopkeeper 店主 
shopping 购物 
shore 岸 
short 短 
shortage 缺乏 
shorten 弄短 
shortening 弄短 
shorthand 速记 
shortly 不久 
shortsighted 近视 
shot 发射 
should 将会 
shoulder 肩膀 
shout 叫喊 
shove 推 
shovel 铲子 
show 表演;显示 
shower 骤雨 
shred 碎布条 
shrewd 敏捷的 
shriek 尖叫 
shrill 尖锐的 
shrine 神社 
shrink 缩小 
shrivel 起皱纹 
shrub 灌木 
shrug 耸肩 
shudder 发抖 
shuffle 洗纸牌 
shun 躲避 
shut 闭 
shutter 百叶窗 
shuttle 梭 
shy 害羞 
sick 病 
sicken 使作呕 
sickness 病 
side 旁边 
sidewalk 人行道 
siege 围城 
sieve 筛子 
sift 筛 
sigh 叹息 
sight 视觉 
sign □,签名 
signal 信号 
signature 签名 
significance 重要性 
significant 重要的 
signify 表示 
silence 沈默 
silent 无声的 
silk 丝 
silkworm 蚕 
silly 愚蠢的 
silver 银 
silvery 像银的 
similar 类似的 
simple 简单的 
simplicity 简单 
simplify 简化 
simply 简单地 
simultaneous 同时的 
sin 罪恶 
since 自从 
sincere 真挚的 
sincerely 诚挚地 
sincerity 真挚 
sinew 腱子;力量 
sing 歌唱 
singer 歌手 
single 单独的 
singular 特殊的 
sinister 邪恶的 
sink 沈落;水槽 
sinner 罪人 
sip 啜饮 
sir 先生 
sire 阁下 
siren 警报器 
sister 姊妹 
sit 坐 
site 位置 
situated 位於□ 
situation 情况 
six 六 
sixteen 十六 
sixteenth 第十六的 
sixth 第六 
sixtieth 第六十的 
sixty 六十 
size 尺寸;大小 
skate 溜冰鞋 
skeleton 骨架 
skeptical 多疑的 
sketch 草稿;素描 
ski 滑雪 
skill 技能 
skilled 熟练的 
skillful 熟练的 
skim 撇去 
skin 皮肤 
skip 跳跃 
skirmish 小□突 
skirt 裙子 
skull 头盖骨 
skunk 臭鼬 
sky 天空 
skylark □雀 
skyscraper 摩天搂 
slab 石片;木板 
slack 煤渣 
slack 缓慢的 
slacken 缓慢 
slam 猛撞 
slander 诽谤 
slang 俚语 
slant 倾斜 
slap 掌击 
slash 割伤 
slate 石板 
slaughter 屠杀 
slave 奴隶 
slavery 奴隶制度 
slay 杀 
sled 雪撬 
sledge 雪撬;大锤 
sleek 光滑的 
sleep 睡觉 
sleeper 睡眠者 
sleeping 睡眠 
sleepy 想睡的 
sleet 冰雹 
sleeve 袖子 
sleigh 雪撬 
slender 细长 
slice 片;切片 
slide 滑落 
slight 轻微的 
slim 瘦长的 
sling 弹弓;吊绳 
slip 滑倒;溜走 
slipper 拖鞋 
slippery 滑溜的 
slogan 口号;标语 
slope 倾斜 
slow 缓慢 
slug 小毛□ 
slumber 睡眠 
slump 陷落 
sly 隐密的 
smack 滋味;拍击 
small 小的 
smallpox 天花 
smart 精明的 
